,Entity,Year,Average_Years_Education
1768,Czechia,1940,6.08
1769,Czechia,1945,6.41
1770,Czechia,1950,8.07
1771,Czechia,1955,8.22
1772,Czechia,1960,8.08
1773,Czechia,1965,8.88
1774,Czechia,1970,9.56
1775,Czechia,1975,9.85
1776,Czechia,1980,10.23
1777,Czechia,1985,10.46
1778,Czechia,1990,10.88
1779,Czechia,1991,8.1
1780,Czechia,1992,8.3
1781,Czechia,1993,8.4
1782,Czechia,1994,8.4
1783,Czechia,1995,8.5
1784,Czechia,1996,8.6
1785,Czechia,1997,8.6
1786,Czechia,1998,8.4
1787,Czechia,1999,8.5
1788,Czechia,2000,8.7
1789,Czechia,2001,8.8
1790,Czechia,2002,8.7
1791,Czechia,2003,9.2
1792,Czechia,2004,8.8
1793,Czechia,2005,8.9
1794,Czechia,2006,9.0
1795,Czechia,2007,9.1
1796,Czechia,2008,9.2
1797,Czechia,2009,9.3
1798,Czechia,2010,9.1
1799,Czechia,2011,9.4
1800,Czechia,2012,9.5
1801,Czechia,2013,9.1
1802,Czechia,2014,9.2
1803,Czechia,2015,9.5
1804,Czechia,2016,9.6
1805,Czechia,2017,9.7
