,Entity,Year,Share of education
2163,Spain,1987,8.8212996
2164,Spain,1988,9.615260099999999
2165,Spain,1989,10.31713
2166,Spain,1990,10.11695
2167,Spain,1991,10.006860000000001
2168,Spain,1992,9.70611
2169,Spain,1993,10.0219
2170,Spain,1994,10.24136
2171,Spain,1995,10.63163
2172,Spain,1996,10.70875
2173,Spain,1998,10.48723
2174,Spain,1999,10.69392
2175,Spain,2000,10.66263
2176,Spain,2001,10.71261
2177,Spain,2002,10.709000000000001
2178,Spain,2003,10.88755
2179,Spain,2004,10.724260000000001
2180,Spain,2005,10.779119999999999
2181,Spain,2006,10.88591
2182,Spain,2007,10.84699
2183,Spain,2008,10.9364
2184,Spain,2009,10.63257
2185,Spain,2010,10.561919999999999
2186,Spain,2011,10.61811
2187,Spain,2012,9.2134104
2188,Spain,2013,9.499910400000001
2189,Spain,2014,9.543490400000001
2190,Spain,2015,9.77104
